INFO:     Started server process [2632]
INFO:     Waiting for application startup.
INFO:     Application startup complete.
INFO:     Uvicorn running on http://127.0.0.1:8000 (Press CTRL+C to quit)
2026-07-22 07:50:51,830 | INFO | httpx | HTTP Request: GET https://api.openaq.org/v3/sensors/1545/measurements/hourly?datetime_from=2026-07-15T02%3A20%3A40.668283%2B00%3A00&datetime_to=2026-07-22T02%3A20%3A40.668283%2B00%3A00&limit=1000 "HTTP/1.1 200 OK"
2026-07-22 07:50:51,836 | INFO | httpx | HTTP Request: GET https://api.openaq.org/v3/sensors/15024/measurements/hourly?datetime_from=2026-07-15T02%3A20%3A40.668283%2B00%3A00&datetime_to=2026-07-22T02%3A20%3A40.668283%2B00%3A00&limit=1000 "HTTP/1.1 200 OK"
2026-07-22 07:50:51,839 | INFO | httpx | HTTP Request: GET https://api.openaq.org/v3/sensors/1544/measurements/hourly?datetime_from=2026-07-15T02%3A20%3A40.668283%2B00%3A00&datetime_to=2026-07-22T02%3A20%3A40.668283%2B00%3A00&limit=1000 "HTTP/1.1 200 OK"
2026-07-22 07:50:51,849 | INFO | httpx | HTTP Request: GET https://api.openaq.org/v3/sensors/1342956/measurements/hourly?datetime_from=2026-07-15T02%3A20%3A40.668283%2B00%3A00&datetime_to=2026-07-22T02%3A20%3A40.668283%2B00%3A00&limit=1000 "HTTP/1.1 200 OK"
2026-07-22 07:50:51,857 | INFO | httpx | HTTP Request: GET https://api.openaq.org/v3/sensors/12235662/measurements/hourly?datetime_from=2026-07-15T02%3A20%3A40.668283%2B00%3A00&datetime_to=2026-07-22T02%3A20%3A40.668283%2B00%3A00&limit=1000 "HTTP/1.1 200 OK"
2026-07-22 07:50:51,877 | INFO | httpx | HTTP Request: GET https://api.openaq.org/v3/sensors/12235660/measurements/hourly?datetime_from=2026-07-15T02%3A20%3A40.668283%2B00%3A00&datetime_to=2026-07-22T02%3A20%3A40.668283%2B00%3A00&limit=1000 "HTTP/1.1 200 OK"
2026-07-22 07:50:51,943 | INFO | httpx | HTTP Request: GET https://api.openaq.org/v3/sensors/12235659/measurements/hourly?datetime_from=2026-07-15T02%3A20%3A40.668283%2B00%3A00&datetime_to=2026-07-22T02%3A20%3A40.668283%2B00%3A00&limit=1000 "HTTP/1.1 200 OK"
2026-07-22 07:50:51,947 | INFO | httpx | HTTP Request: GET https://api.openaq.org/v3/sensors/12235657/measurements/hourly?datetime_from=2026-07-15T02%3A20%3A40.668283%2B00%3A00&datetime_to=2026-07-22T02%3A20%3A40.668283%2B00%3A00&limit=1000 "HTTP/1.1 200 OK"
2026-07-22 07:50:51,977 | INFO | httpx | HTTP Request: GET https://api.openaq.org/v3/sensors/12235661/measurements/hourly?datetime_from=2026-07-15T02%3A20%3A40.668283%2B00%3A00&datetime_to=2026-07-22T02%3A20%3A40.668283%2B00%3A00&limit=1000 "HTTP/1.1 200 OK"
2026-07-22 07:50:51,985 | INFO | httpx | HTTP Request: GET https://api.openaq.org/v3/sensors/12235664/measurements/hourly?datetime_from=2026-07-15T02%3A20%3A40.668283%2B00%3A00&datetime_to=2026-07-22T02%3A20%3A40.668283%2B00%3A00&limit=1000 "HTTP/1.1 200 OK"
2026-07-22 07:51:58,190 | INFO | httpx | HTTP Request: GET https://air-quality-api.open-meteo.com/v1/air-quality?latitude=30.9028&longitude=75.8086&current=pm2_5%2Cpm10%2Cnitrogen_dioxide%2Ccarbon_monoxide%2Cozone%2Cdust&hourly=pm2_5%2Cpm10%2Cnitrogen_dioxide%2Ccarbon_monoxide%2Cozone%2Cdust&forecast_hours=120&past_days=7&timezone=UTC "HTTP/1.1 200 OK"
2026-07-22 07:51:58,299 | INFO | httpx | HTTP Request: GET https://api.open-meteo.com/v1/forecast?latitude=30.9028&longitude=75.8086&current=temperature_2m%2Crelative_humidity_2m%2Csurface_pressure%2Cwind_speed_10m%2Cwind_direction_10m%2Cweather_code&hourly=temperature_2m%2Crelative_humidity_2m%2Csurface_pressure%2Cprecipitation%2Ccloud_cover%2Cvisibility%2Cwind_speed_10m%2Cwind_direction_10m%2Cwind_gusts_10m%2Cboundary_layer_height%2Cweather_code&forecast_hours=120&past_days=7&timezone=UTC&wind_speed_unit=ms "HTTP/1.1 200 OK"
2026-07-22 07:51:58,320 | INFO | httpx | HTTP Request: GET https://api.openaq.org/v3/locations/5569/sensors "HTTP/1.1 200 OK"
2026-07-22 07:51:58,322 | INFO | httpx | HTTP Request: GET https://api.openaq.org/v3/locations/5569/latest "HTTP/1.1 200 OK"
2026-07-22 07:52:08,973 | INFO | httpx | HTTP Request: GET https://firms.modaps.eosdis.nasa.gov/api/area/csv/50c9af0a60ed36988747b7181c16018e/VIIRS_SNPP_NRT/72.8086,27.9028,78.8086,33.9028/1 "HTTP/1.1 200 OK"
2026-07-22 07:52:10,060 | INFO | httpx | HTTP Request: GET https://api.openaq.org/v3/sensors/14831/measurements/hourly?datetime_from=2026-07-15T02%3A21%3A58.519952%2B00%3A00&datetime_to=2026-07-22T02%3A21%3A58.519952%2B00%3A00&limit=1000 "HTTP/1.1 200 OK"
2026-07-22 07:52:10,071 | INFO | httpx | HTTP Request: GET https://api.openaq.org/v3/sensors/14824/measurements/hourly?datetime_from=2026-07-15T02%3A21%3A58.519952%2B00%3A00&datetime_to=2026-07-22T02%3A21%3A58.519952%2B00%3A00&limit=1000 "HTTP/1.1 200 OK"
2026-07-22 07:52:10,073 | INFO | httpx | HTTP Request: GET https://api.openaq.org/v3/sensors/14827/measurements/hourly?datetime_from=2026-07-15T02%3A21%3A58.519952%2B00%3A00&datetime_to=2026-07-22T02%3A21%3A58.519952%2B00%3A00&limit=1000 "HTTP/1.1 200 OK"
2026-07-22 07:52:10,076 | INFO | httpx | HTTP Request: GET https://api.openaq.org/v3/sensors/14832/measurements/hourly?datetime_from=2026-07-15T02%3A21%3A58.519952%2B00%3A00&datetime_to=2026-07-22T02%3A21%3A58.519952%2B00%3A00&limit=1000 "HTTP/1.1 200 OK"
2026-07-22 07:52:10,078 | INFO | httpx | HTTP Request: GET https://api.openaq.org/v3/sensors/14715/measurements/hourly?datetime_from=2026-07-15T02%3A21%3A58.519952%2B00%3A00&datetime_to=2026-07-22T02%3A21%3A58.519952%2B00%3A00&limit=1000 "HTTP/1.1 200 OK"
2026-07-22 07:52:10,080 | INFO | httpx | HTTP Request: GET https://api.openaq.org/v3/sensors/14826/measurements/hourly?datetime_from=2026-07-15T02%3A21%3A58.519952%2B00%3A00&datetime_to=2026-07-22T02%3A21%3A58.519952%2B00%3A00&limit=1000 "HTTP/1.1 200 OK"
